# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.1b2 (February 2015); http://hmmer.org/
# Copyright (C) 2015 Howard Hughes Medical Institute.
# Freely distributed under the GNU General Public License (GPLv3).
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  /home/arjen/16/PGCleanTarget/Train2/Training/Hmmr-Build/hmm_preGroup_1.txt
# target sequence database:        /home/arjen/16/PGCleanTarget/Train2/TrSeqFile
# show alignments in output:       no
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       Mafft_preGroup_1  [M=426]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence Description
   2.4e-144  474.6  16.0   2.6e-144  474.5  16.0    1.0  1  P35339_1  
   4.1e-144  473.9   0.0   4.6e-144  473.7   0.0    1.0  1  Q949Z1_1  
   5.5e-143  470.1   7.9   6.5e-143  469.9   7.9    1.0  1  P48979_1  
   5.9e-143  470.0  14.5   7.2e-143  469.8  14.5    1.0  1  Q6H9K0_1  
   2.6e-142  467.9  10.4   3.1e-142  467.7  10.4    1.0  1  Q05967_1  
   1.1e-139  459.2  10.8   1.5e-139  458.8  10.8    1.0  1  Q40312_1  
   1.2e-139  459.1  13.9   1.6e-139  458.7  13.9    1.0  1  O22818_1  
   2.1e-137  451.8  11.8   2.3e-137  451.6  11.8    1.0  1  P24548_1  
   6.8e-135  443.5  11.6   7.9e-135  443.2  11.6    1.0  1  P49062_1  
   4.6e-134  440.7   6.1   5.4e-134  440.5   6.1    1.0  1  P35337_1  
   7.4e-117  384.0   3.0   8.5e-117  383.8   3.0    1.0  1  P58598_1  
   1.1e-116  383.5   1.4   1.3e-116  383.3   1.4    1.0  1  P20041_1  
   4.4e-112  368.3  11.9   5.1e-112  368.1  11.9    1.0  1  P15922_1  
   1.5e-109  360.0   0.0   1.6e-109  359.8   0.0    1.0  1  A7PZL3_1  
    1.1e-98  324.2  15.1    1.3e-98  323.9  15.1    1.1  1  P18192_1  
    3.5e-98  322.5  14.0    4.4e-98  322.2  14.0    1.2  1  P26509_1  
    2.9e-72  237.1   0.0    3.3e-72  237.0   0.0    1.0  1  P27644_1  
    5.7e-71  232.8  19.0    6.9e-71  232.6  19.0    1.0  1  I1BYN6_1  
    1.3e-68  225.1  15.8    1.5e-68  224.9  15.8    1.0  1  I1BYM7_1  
    1.3e-65  215.2  15.3    3.1e-65  214.0  15.3    1.4  1  Q00359_1  
    1.6e-64  211.6  30.7    5.7e-62  203.2  24.4    2.0  2  I1BPS7_1  
    5.9e-62  203.2   6.6      1e-61  202.4   6.6    1.3  1  Q00293_1  
      9e-62  202.6   6.3    1.6e-61  201.7   6.3    1.3  1  Q27UB3_1  
    1.7e-61  201.6   6.9      2e-61  201.4   6.9    1.0  1  Q27UB1_1  
    6.5e-61  199.7  12.8    1.4e-60  198.6  13.0    1.3  1  A1DLC1_2  
    8.4e-61  199.4   0.7    9.7e-61  199.2   0.7    1.0  1  B8NX60_1  
    1.3e-60  198.7   0.7    1.5e-60  198.5   0.7    1.0  1  Q2TW03_2  
    3.4e-60  197.4  12.1    8.3e-60  196.1  12.4    1.3  1  Q4WCZ8_2  
    9.5e-60  195.9   7.1    1.5e-59  195.2   7.1    1.3  1  Q0CGP0_1  
    1.9e-59  194.9  10.0    2.3e-59  194.6  10.0    1.0  1  Q9UUZ2_1  
    2.3e-59  194.6   1.6    2.6e-59  194.5   1.6    1.0  1  Q0C7H7_1  
    5.5e-59  193.4   1.9    7.4e-59  193.0   1.9    1.0  1  A1DAX2_1  
    6.3e-59  193.2   6.1    1.1e-58  192.4   6.1    1.3  1  Q5ASG9_1  
    6.6e-59  193.1   1.1    7.9e-59  192.9   1.1    1.0  1  B0YAA4_2  
    6.9e-59  193.1   1.1    7.9e-59  192.9   1.1    1.0  1  Q4WBK6_2  
    1.6e-58  191.8   3.8    2.1e-58  191.5   3.8    1.1  1  Q27UB2_1  
    5.1e-58  190.2  10.0    6.3e-58  189.9  10.0    1.0  1  A2QK83_1  
    6.2e-58  189.9   0.2    6.8e-58  189.8   0.2    1.0  1  Q873X6_1  
      1e-57  189.2  23.7    5.8e-56  183.4  19.4    2.0  2  I1BYN5_1  
    5.2e-57  186.9   8.5    1.1e-56  185.8   8.5    1.4  1  B8NG16_1  
    6.1e-55  180.1   8.5    7.6e-55  179.7   8.5    1.0  1  A1DBT5_1  
    7.4e-55  179.8   8.4    9.2e-55  179.5   8.4    1.0  1  B0Y9F8_2  
    8.1e-55  179.6   8.0      1e-54  179.3   8.0    1.0  1  Q5B7U1_1  
      9e-55  179.5  10.3    1.1e-54  179.2  10.3    1.0  1  B8NPS8_1  
    1.4e-54  178.8   7.4    1.8e-54  178.5   7.4    1.0  1  Q4WBT4_2  
    3.1e-54  177.7  10.3    3.8e-54  177.4  10.3    1.0  1  Q2UBD8_1  
    5.9e-52  170.2  22.5    7.1e-52  169.9  22.5    1.0  1  P26215_1  
    5.6e-51  167.0  17.0    6.6e-51  166.8  17.0    1.0  1  Q0CMU3_1  
      5e-50  163.9   4.2      2e-49  161.9   4.3    1.7  1  Q5ARN5_1  
    5.7e-50  163.7  12.7    7.1e-50  163.4  12.7    1.1  1  Q9P4W4_1  
    2.3e-49  161.7  19.6    2.8e-49  161.4  19.6    1.0  1  Q2UHL4_1  
    5.6e-49  160.4  15.2      7e-49  160.1  15.2    1.1  1  Q8NK99_1  
    1.5e-48  159.0   0.1    2.4e-48  158.3   0.1    1.3  1  Q2EQQ2_1  
    1.6e-48  158.9  13.6    2.2e-48  158.5  13.6    1.1  1  Q5AYH4_1  
    1.6e-48  158.9   0.4    2.6e-48  158.2   0.4    1.3  1  Q2UP32_1  
      2e-48  158.6   0.1    3.2e-48  157.9   0.1    1.3  1  A2QBB4_2  
    5.1e-48  157.2  11.5    7.9e-48  156.6  11.5    1.2  1  A2QG68_2  
    1.4e-47  155.8  16.8    1.8e-47  155.5  16.8    1.1  1  O93883_1  
    2.5e-47  154.9  16.2    3.3e-47  154.6  16.2    1.1  1  Q9P4W2_1  
    3.3e-47  154.6  15.2    4.1e-47  154.3  15.2    1.1  1  Q9P358_1  
    4.7e-47  154.1  13.9    6.1e-47  153.7  13.9    1.1  1  A1DBR6_1  
      5e-47  154.0  17.2    6.7e-47  153.6  17.2    1.1  1  O42824_1  
    5.9e-47  153.7  17.5    7.1e-47  153.5  17.5    1.0  1  Q5B508_2  
    1.4e-46  152.5  14.6    1.9e-46  152.0  14.6    1.2  1  P26213_1  
    1.5e-46  152.4  15.3    1.8e-46  152.1  15.3    1.1  1  Q2UT29_2  
    1.8e-46  152.1  15.5    2.2e-46  151.8  15.5    1.1  1  B8MW78_1  
    2.5e-46  151.7   6.2    1.2e-45  149.5   6.2    1.8  1  B0XYC4_1  
    2.7e-46  151.6   7.2    1.3e-45  149.4   7.2    1.8  1  Q4WX94_1  
    4.8e-46  150.7  17.0    5.8e-46  150.5  17.0    1.0  1  P41750_1  
    7.3e-46  150.1  20.6    1.3e-45  149.3  20.6    1.3  1  Q70HJ4_1  
    9.8e-46  149.7  19.1    1.3e-45  149.4  19.1    1.0  1  P47180_1  
    1.7e-45  148.9  14.1    2.3e-45  148.5  14.1    1.1  1  Q9Y718_1  
    3.2e-45  148.0  17.5    3.9e-45  147.7  17.5    1.0  1  B8N7Z8_1  
    4.4e-45  147.6  18.4    5.4e-45  147.3  18.4    1.0  1  P41749_1  
    4.9e-45  147.4  16.1    5.9e-45  147.1  16.1    1.0  1  Q9P359_1  
    6.1e-45  147.1  16.3    7.6e-45  146.8  16.3    1.1  1  P49575_1  
    7.4e-45  146.8  18.6    8.9e-45  146.6  18.6    1.0  1  P35335_2  
    1.1e-44  146.2  15.9    1.4e-44  145.9  15.9    1.0  1  Q8NK98_2  
    1.4e-44  145.9  17.8    2.1e-44  145.4  17.8    1.3  1  A2QBB6_1  
    1.5e-44  145.9  12.8    1.8e-44  145.6  12.8    1.1  1  Q12708_1  
    1.7e-44  145.6  16.4    1.7e-44  145.6  16.4    1.3  1  O42809_1  
    2.1e-44  145.3  12.9    2.5e-44  145.1  12.9    1.1  1  Q9Y833_1  
    2.5e-44  145.1  21.6    3.1e-44  144.8  21.6    1.0  1  O59925_1  
    2.7e-44  145.0   5.6      2e-43  142.1   5.6    1.8  1  A1D415_1  
    3.2e-44  144.7   8.5    9.4e-44  143.2   8.5    1.6  1  A1D7I1_1  
    4.5e-44  144.2  13.9    5.3e-44  144.0  13.9    1.1  1  Q00446_1  
    4.8e-44  144.2  16.3    5.8e-44  143.9  16.3    1.0  1  Q1HAY5_1  
    5.3e-44  144.0  16.7    8.2e-44  143.4  16.7    1.3  1  A1CVV8_1  
    6.5e-44  143.7   9.7    7.4e-43  140.2   9.7    1.9  1  A2RAY7_1  
    6.6e-44  143.7  17.6    8.7e-44  143.3  17.6    1.1  1  A1CIV8_1  
    7.1e-44  143.6  17.1      1e-43  143.1  17.1    1.3  1  Q4WQT2_1  
      8e-44  143.4  16.8    9.4e-44  143.2  16.8    1.0  1  Q9Y834_1  
    1.3e-43  142.7  17.6    1.5e-43  142.5  17.6    1.0  1  Q9P4W3_1  
    1.4e-43  142.7  14.7    1.7e-43  142.4  14.7    1.0  1  P19805_1  
    2.6e-43  141.7  11.6      2e-42  138.8  11.6    1.8  1  Q27UB0_1  
    3.7e-43  141.2  16.6    4.7e-43  140.9  16.6    1.1  1  P26214_1  
    5.8e-43  140.6  14.2    7.4e-43  140.2  14.2    1.1  1  Q5ATQ3_1  
    6.2e-43  140.5  18.0    7.6e-43  140.2  18.0    1.0  1  A1DAQ2_1  
    2.2e-42  138.7  15.0    3.1e-42  138.2  15.0    1.2  1  Q4WR80_1  
    3.3e-42  138.1  16.6    4.1e-42  137.8  16.6    1.1  1  B0YAH0_1  
    3.6e-42  138.0  16.8    4.4e-42  137.7  16.8    1.1  1  Q4WBE1_1  
    4.7e-42  137.6  22.3    6.1e-42  137.2  22.3    1.0  1  Q07181_1  
    7.4e-42  136.9   6.0    1.5e-40  132.6   2.8    2.0  2  Q0CXI3_1  
    8.7e-42  136.7  21.0    8.7e-42  136.7  21.0    1.4  1  O74213_1  
    2.1e-40  132.2  18.5    3.4e-40  131.5  18.5    1.3  1  A1D145_1  
    2.5e-39  128.6   9.5    3.3e-38  124.9   9.5    1.9  1  Q2UQ40_1  
    3.4e-39  128.2  11.3    4.1e-39  127.9  11.3    1.2  1  Q70HJ3_1  
    7.2e-39  127.1  12.2    7.2e-39  127.1  12.2    1.3  1  Q12554_1  
    9.4e-39  126.7  13.6    1.2e-38  126.3  13.3    1.3  1  A2QL39_1  
      1e-38  126.6   2.2    1.4e-38  126.1   2.2    1.1  1  Q4WV23_1  
    1.3e-38  126.3   2.5    1.8e-38  125.8   2.5    1.1  1  B0Y0Q3_1  
    1.3e-38  126.2   5.2      2e-38  125.6   5.2    1.1  1  Q5ARE6_2  
    1.5e-38  126.1   0.5      2e-38  125.6   0.5    1.1  1  Q2TWN8_1  
    1.3e-37  123.0   2.5    1.8e-37  122.5   2.5    1.1  1  A1DED1_1  
    5.7e-37  120.8   4.5    8.1e-37  120.3   4.5    1.1  1  A2QYE5_1  
    1.4e-36  119.5   3.3      2e-36  119.0   3.3    1.1  1  P87160_1  
    4.7e-36  117.8   0.3    4.7e-36  117.8   0.3    1.6  1  A2R3G4_1  
    9.7e-36  116.8   6.9    1.4e-35  116.3   6.9    1.1  1  B8NKB9_2  
    1.1e-35  116.5   6.8    1.5e-35  116.1   6.8    1.1  1  Q00001_1  
    1.1e-34  113.3   6.8    1.5e-34  112.8   6.8    1.0  1  O97400_1  
    1.5e-34  112.8   0.1    2.2e-34  112.3   0.1    1.1  1  Q0CFC7_1  
    1.3e-28   93.3   9.4      4e-26   85.1   9.4    2.1  1  Q2U7A4_1  
    1.4e-28   93.2   4.2    1.8e-28   92.9   4.2    1.0  1  A2QXE8_2  


Domain annotation for each sequence:
>> Q7M1E7_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  559.0   6.3  5.9e-170  5.9e-170       1     410 [.       1     458 [.       1     481 [. 0.91

>> Q9FY19_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  545.1   6.4  9.8e-166  9.8e-166       1     420 [.       1     430 [.       1     473 [. 0.94

>> P43212_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  542.6   7.2  5.4e-165  5.4e-165       1     424 [.       1     479 [.       1     481 [. 0.93

>> P35336_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  538.4   8.8  1.1e-163  1.1e-163       3     421 ..       3     458 ..       1     463 [. 0.90

>> P05117_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  517.9  21.1  1.7e-157  1.7e-157       5     421 ..       5     445 ..       1     449 [. 0.91

>> Q8RY29_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  517.7  20.9  1.9e-157  1.9e-157       1     419 [.       1     431 [.       1     433 [] 0.93

>> O23147_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  516.2  19.6  5.6e-157  5.6e-157       2     419 ..       2     431 .]       1     431 [] 0.91

>> Q02096_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  515.3   2.1  1.1e-156  1.1e-156      26     412 ..      25     447 ..       1     461 [. 0.88

>> Q9SFB7_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  515.0   8.5  1.3e-156  1.3e-156      18     418 ..      19     438 ..       1     439 [] 0.91

>> P48978_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  512.0  15.9  1.1e-155  1.1e-155       1     414 [.       1     457 [.       1     460 [] 0.91

>> Q94AJ5_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  508.5   1.4  1.2e-154  1.2e-154       1     422 [.       1     427 [.       1     430 [. 0.94

>> Q9LW07_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  492.6   7.6    8e-150    8e-150      49     422 ..      20     392 ..      16     396 .. 0.95

>> Q39786_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  490.4   3.3  3.8e-149  3.8e-149      46     421 ..      22     398 ..      13     403 .. 0.96

>> Q39766_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  489.7   2.9  6.5e-149  6.5e-149      45     421 ..      21     398 ..      14     403 .. 0.96

>> P26216_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  476.5  15.5  6.3e-145  6.3e-145       4     420 ..       4     405 ..       1     410 [] 0.93

>> P35338_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  476.5  15.7  6.5e-145  6.5e-145      14     420 ..      14     405 ..       1     410 [] 0.93

>> P49063_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  474.6   9.7  2.4e-144  2.4e-144       4     423 ..       4     441 ..       1     444 [] 0.92

>> P35339_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  474.5  16.0  2.6e-144  2.6e-144      36     419 ..      23     404 ..       1     410 [] 0.93

>> Q949Z1_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  473.7   0.0  4.6e-144  4.6e-144      18     418 ..      20     457 ..       1     464 [. 0.89

>> P48979_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  469.9   7.9  6.5e-143  6.5e-143      47     418 ..      22     392 ..       5     393 .] 0.96

>> Q6H9K0_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  469.8  14.5  7.2e-143  7.2e-143      48     418 ..       5     376 ..       2     377 .] 0.98

>> Q05967_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  467.7  10.4  3.1e-142  3.1e-142      45     422 ..      19     392 ..      14     396 .] 0.98

>> Q40312_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  458.8  10.8  1.5e-139  1.5e-139      45     421 ..      17     394 ..      11     399 .. 0.96

>> O22818_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  458.7  13.9  1.6e-139  1.6e-139      49     420 ..      29     399 ..      20     403 .. 0.95

>> P24548_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  451.6  11.8  2.3e-137  2.3e-137      67     423 ..       1     359 [.       1     362 [] 0.98

>> P49062_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  443.2  11.6  7.9e-135  7.9e-135      40     419 ..      38     421 ..       6     422 .] 0.94

>> P35337_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  440.5   6.1  5.4e-134  5.4e-134      55     421 ..      22     389 ..      17     394 .. 0.96

>> P58598_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  383.8   3.0  8.5e-117  8.5e-117       1     425 [.       1     522 [.       1     523 [. 0.94

>> P20041_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  383.3   1.4  1.3e-116  1.3e-116       3     425 ..       1     520 [.       1     521 [. 0.94

>> P15922_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  368.1  11.9  5.1e-112  5.1e-112       2     415 ..       5     601 ..       4     602 .] 0.95

>> A7PZL3_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  359.8   0.0  1.6e-109  1.6e-109      25     423 ..      25     457 ..       1     460 [. 0.91

>> P18192_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  323.9  15.1   1.3e-98   1.3e-98      62     407 ..      46     401 ..       3     402 .] 0.92

>> P26509_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  322.2  14.0   4.4e-98   4.4e-98      62     409 ..      46     398 ..       1     402 [] 0.90

>> P27644_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  237.0   0.0   3.3e-72   3.3e-72     166     396 ..      13     266 ..       6     312 .] 0.91

>> I1BYN6_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  232.6  19.0   6.9e-71   6.9e-71      59     419 ..      34     384 ..      20     385 .] 0.90

>> I1BYM7_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  224.9  15.8   1.5e-68   1.5e-68      61     419 ..      34     384 ..      17     385 .] 0.88

>> Q00359_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  214.0  15.3   3.1e-65   3.1e-65      64     421 ..      63     439 ..      45     443 .. 0.84

>> I1BPS7_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !   14.1   0.7   0.00014   0.00014      63     154 ..      35     121 ..      20     125 .. 0.83
   2 !  203.2  24.4   5.7e-62   5.7e-62     183     419 ..     120     362 ..     119     363 .] 0.91

>> Q00293_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  202.4   6.6     1e-61     1e-61      34     420 ..      31     432 ..       2     435 .] 0.81

>> Q27UB3_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  201.7   6.3   1.6e-61   1.6e-61      33     420 ..      30     432 ..       2     435 .] 0.80

>> Q27UB1_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  201.4   6.9     2e-61     2e-61      87     413 ..      82     426 ..      40     437 .. 0.84

>> A1DLC1_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  198.6  13.0   1.4e-60   1.4e-60      60     414 ..      55     427 ..      44     432 .] 0.84

>> B8NX60_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  199.2   0.7   9.7e-61   9.7e-61      86     419 ..      79     431 ..      41     435 .] 0.84

>> Q2TW03_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
