# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.1b2 (February 2015); http://hmmer.org/
# Copyright (C) 2015 Howard Hughes Medical Institute.
# Freely distributed under the GNU General Public License (GPLv3).
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  /home/arjen/16/PGCleanTarget/Train11/Training/Hmmr-Build/hmm_preGroup_1.txt
# target sequence database:        /home/arjen/16/PGCleanTarget/Train11/TrSeqFile
# show alignments in output:       no
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       Mafft_preGroup_1  [M=378]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence Description
    7.9e-44  143.0  16.5    9.6e-44  142.7  16.5    1.0  1  A1DBT5_1  
    8.2e-44  142.9  16.2      1e-43  142.7  16.2    1.2  1  P35339_1  
    2.4e-43  141.4  10.7    3.6e-43  140.8  10.7    1.2  1  Q40312_1  
      3e-43  141.1  15.9    3.8e-43  140.8  15.9    1.2  1  P26216_1  
    6.4e-43  140.0  15.9    8.2e-43  139.7  15.9    1.2  1  P35338_1  
      5e-42  137.1  10.0    6.6e-42  136.7  10.0    1.0  1  Q6H9K0_1  
    1.3e-41  135.8  13.6    1.9e-41  135.2  13.6    1.4  1  Q949Z1_1  
    1.3e-40  132.4  10.5    1.8e-40  131.9  10.5    1.1  1  P49062_1  
    8.3e-40  129.8   4.6    1.6e-38  125.6   4.6    2.0  1  Q5ARN5_1  
      1e-38  126.2  14.8      1e-38  126.2  14.8    1.6  2  Q9P4W4_1  
    9.2e-38  123.0  17.6    9.2e-38  123.0  17.6    1.5  2  Q8NK99_1  
      1e-36  119.6  17.3      1e-36  119.6  17.3    1.5  2  Q9P358_1  
    1.3e-36  119.3  23.6    2.2e-36  118.5  23.6    1.3  1  P26215_1  
    1.8e-36  118.8   0.3    1.8e-36  118.8   0.3    1.7  2  Q0CXI3_1  
    5.4e-36  117.2  14.8    6.6e-36  116.9  14.8    1.1  1  Q9Y834_1  
    7.8e-36  116.7   3.8    7.8e-36  116.7   3.8    1.3  1  Q27UB0_1  
    9.7e-36  116.4   3.0    1.9e-35  115.5   3.0    1.5  1  Q2UQ40_1  
    4.9e-35  114.1  22.9    9.8e-35  113.1  22.9    1.4  1  O42824_1  
    1.4e-34  112.5  16.8    1.4e-34  112.5  16.8    1.4  1  P41750_1  
    1.5e-34  112.5  13.8    1.5e-34  112.5  13.8    1.3  1  O42809_1  
    1.9e-34  112.2  16.2    1.9e-34  112.2  16.2    1.4  1  A1CIV8_1  
    2.7e-34  111.6  16.9    2.7e-34  111.6  16.9    1.5  1  Q5B508_2  
    2.7e-34  111.6  21.3    4.8e-34  110.8  21.4    1.4  1  Q2UHL4_1  
    3.2e-34  111.4  14.5    3.2e-34  111.4  14.5    1.3  1  Q00446_1  
    3.5e-34  111.3  14.2    3.5e-34  111.3  14.2    1.4  1  A2QBB6_1  
    4.2e-34  111.0  16.8    4.2e-34  111.0  16.8    1.5  1  Q1HAY5_1  
      6e-34  110.5  14.9      6e-34  110.5  14.9    1.4  1  A1CVV8_1  
      7e-34  110.3   6.9      3e-33  108.2   6.9    1.8  1  A1D7I1_1  
      1e-33  109.7  22.7      1e-33  109.7  22.7    1.6  2  O74213_1  
    1.3e-33  109.4  17.4    1.3e-33  109.4  17.4    1.5  1  Q9P4W3_1  
    1.7e-33  109.0  15.5    1.7e-33  109.0  15.5    1.4  1  Q4WQT2_1  
    2.2e-33  108.6  16.5    2.2e-33  108.6  16.5    1.4  1  Q0CMU3_1  
    2.9e-33  108.2   4.8    1.5e-32  105.9   4.8    1.9  1  Q4WX94_1  
    3.1e-33  108.1   4.1    1.6e-32  105.8   4.1    1.9  1  B0XYC4_1  
    3.2e-33  108.1  12.3    3.2e-33  108.1  12.3    1.3  1  P19805_1  
    3.9e-33  107.8  22.1    1.2e-32  106.2  22.0    1.7  1  Q70HJ4_1  
    8.9e-33  106.6   4.4    9.1e-30   96.7   0.4    2.0  2  A2RAY7_1  
    1.3e-32  106.1  17.6    1.3e-32  106.1  17.6    2.0  2  P49575_1  
    3.5e-32  104.7  16.6      6e-32  103.9  16.6    1.4  1  Q5AYH4_1  
    9.5e-32  103.3  19.2    9.5e-32  103.3  19.2    1.9  2  P41749_1  
    1.1e-31  103.1  16.9    1.1e-31  103.1  16.9    1.7  2  P26213_1  
    1.2e-31  102.9  18.3    1.2e-31  102.9  18.3    2.0  2  B8N7Z8_1  
    1.3e-31  102.8  18.9    1.3e-31  102.8  18.9    2.0  2  P35335_2  
    1.3e-31  102.8  17.1    1.3e-31  102.8  17.1    1.2  1  Q9P359_1  
    1.8e-31  102.4  16.3    1.8e-31  102.4  16.3    2.0  2  O93883_1  
    1.8e-31  102.3  16.9    1.8e-31  102.3  16.9    1.2  1  Q8NK98_2  
    3.1e-31  101.6   4.6    2.6e-30   98.5   4.6    2.1  1  A2QBB4_2  
    3.3e-31  101.5   4.5      3e-30   98.3   4.5    2.1  1  Q2EQQ2_1  
    5.8e-31  100.7  16.4    5.8e-31  100.7  16.4    1.4  1  P26214_1  
    7.9e-31  100.2  18.6    2.2e-30   98.7  18.6    1.7  1  A2QG68_2  
      1e-30   99.9  14.4      1e-30   99.9  14.4    1.5  1  B0YAH0_1  
    1.1e-30   99.8  14.5    1.1e-30   99.8  14.5    1.7  2  Q4WBE1_1  
    1.1e-30   99.7  12.1    1.6e-30   99.2  12.1    1.2  1  Q70HJ3_1  
    1.2e-30   99.6  17.5    1.4e-30   99.4  17.1    1.2  1  Q9Y833_1  
    4.3e-30   97.8  14.4    6.1e-30   97.3  14.4    1.2  1  Q12708_1  
    7.4e-30   97.0  16.6      1e-29   96.6  16.6    1.3  1  Q12554_1  
    7.4e-30   97.0  16.6      1e-29   96.6  16.6    1.3  1  A2QL39_1  
    7.6e-30   97.0  18.2    1.3e-29   96.3  18.1    1.3  1  Q4WR80_1  
    7.8e-30   96.9   1.1    4.1e-29   94.6   1.1    1.9  1  Q2UP32_1  
    8.3e-30   96.9  17.7    1.5e-29   96.0  17.6    1.4  1  A1D145_1  
    9.8e-30   96.6  18.9    9.8e-30   96.6  18.9    1.7  2  A1DAQ2_1  
    3.4e-29   94.8  20.6    6.6e-29   93.9  20.6    1.4  1  Q5ATQ3_1  
    1.3e-28   92.9  21.0    1.3e-28   92.9  20.1    1.3  1  O59925_1  
    1.2e-27   89.8  23.3    1.6e-27   89.3  23.3    1.1  1  Q07181_1  
    5.7e-27   87.5  13.1    1.6e-26   86.1  13.1    1.7  1  Q2UT29_2  
    7.3e-27   87.2  16.6    1.1e-26   86.5  16.5    1.3  1  Q9Y718_1  
    8.6e-27   86.9  13.3    2.3e-26   85.5  13.3    1.7  1  B8MW78_1  
    1.5e-26   86.1  20.1    1.8e-26   85.9  19.5    1.4  1  A1DBR6_1  
    2.4e-26   85.4  16.2    3.1e-26   85.1  16.2    1.1  1  P47180_1  
    6.2e-26   84.1  24.2    1.6e-25   82.8  24.2    1.7  1  Q9P4W2_1  
      3e-25   81.9   9.9    4.5e-24   78.0   9.9    2.1  1  A1D415_1  
    6.6e-24   77.4  21.1    1.5e-23   76.3  21.1    1.6  1  P18192_1  
    3.8e-23   74.9  20.7    8.6e-23   73.8  20.7    1.5  1  P26509_1  
    5.8e-23   74.3   8.8    1.6e-22   72.8   8.8    1.6  1  B8NKB9_2  
    2.1e-20   65.9  11.0    4.5e-20   64.8  11.0    1.5  1  Q00001_1  
      3e-20   65.4   0.3    5.6e-20   64.5   0.3    1.4  1  A2R3G4_1  
    7.2e-20   64.1   1.0    1.5e-19   63.1   1.0    1.5  1  Q2TWN8_1  
    2.3e-19   62.5   0.3      4e-19   61.7   0.3    1.3  1  Q0CFC7_1  
    4.2e-19   61.6   5.1      1e-18   60.4   5.1    1.5  1  Q5ARE6_2  
    1.1e-18   60.2   6.4    2.4e-18   59.1   6.4    1.4  1  P87160_1  
    1.5e-18   59.8   6.5    1.5e-18   59.8   6.5    1.9  2  O97400_1  
    2.6e-18   59.0  10.3    3.7e-15   48.6   6.5    2.1  2  Q2U7A4_1  
    3.1e-18   58.8   7.9      6e-18   57.8   7.9    1.4  1  A2QYE5_1  
    4.1e-17   55.1   8.0    7.2e-17   54.3   8.0    1.3  1  A2QXE8_2  
    3.3e-16   52.1   1.0    3.3e-16   52.1   1.0    2.0  1  P58598_1  
    1.1e-15   50.3   4.6    2.1e-15   49.4   4.6    1.3  1  A1DED1_1  
    2.4e-15   49.2   4.7    4.5e-15   48.4   4.7    1.4  1  Q4WV23_1  
    2.5e-15   49.2   4.7    4.5e-15   48.4   4.7    1.4  1  B0Y0Q3_1  
    5.2e-15   48.2   1.1    1.1e-14   47.1   0.5    1.8  1  P20041_1  
    6.2e-14   44.6   0.5    1.1e-13   43.9   0.5    1.4  1  A7PZL3_1  
    2.1e-10   33.0   1.2    3.7e-10   32.2   1.2    1.4  1  P27644_1  


Domain annotation for each sequence:
>> I1BYM7_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  748.4  23.4  9.4e-228  9.5e-228       1     378 []       1     385 []       1     385 [] 1.00

>> I1BYN6_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  739.7  23.8    4e-225  4.1e-225       1     378 []       1     385 []       1     385 [] 1.00

>> I1BYN5_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  687.2  32.5  3.6e-209  3.6e-209       1     377 [.       1     372 []       1     372 [] 1.00

>> I1BPS7_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  655.9  34.1  1.2e-199  1.2e-199       1     378 []       1     363 []       1     363 [] 1.00

>> Q0CGP0_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  210.4  15.4   2.7e-64   2.7e-64      24     377 ..      43     432 ..      37     433 .. 0.88

>> Q27UB3_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  205.7  20.0   7.2e-63   7.2e-63      26     376 ..      44     430 ..      37     432 .. 0.87

>> Q00293_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  203.4  20.2   3.4e-62   3.5e-62      28     376 ..      46     430 ..      37     432 .. 0.87

>> Q4WCZ8_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  201.8  18.9   1.1e-61   1.1e-61      28     370 ..      47     425 ..      42     432 .] 0.89

>> A1DLC1_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  201.5  18.0   1.3e-61   1.3e-61      28     370 ..      47     425 ..      42     432 .] 0.88

>> Q00359_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  200.0  18.3   3.7e-61   3.7e-61      29     376 ..      53     436 ..      41     438 .. 0.87

>> B8NG16_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  199.2  15.5   6.5e-61   6.5e-61      25     369 ..      42     422 ..      36     431 .. 0.89

>> Q5ASG9_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  193.2  14.9   4.4e-59   4.4e-59      37     376 ..      58     431 ..      47     433 .. 0.87

>> Q9LW07_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  175.6   4.8   9.8e-54   9.8e-54      20     375 ..      18     383 ..       7     385 .. 0.86

>> Q9SFB7_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  174.8  11.1   1.7e-53   1.7e-53      31     367 ..      75     426 ..      67     437 .. 0.87

>> Q39786_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  172.1   1.9   1.1e-52   1.1e-52       9     367 ..       9     382 ..       1     390 [. 0.82

>> Q39766_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  171.6   1.7   1.6e-52   1.6e-52      10     366 ..      10     381 ..       1     386 [. 0.81

>> Q27UB1_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  169.1   8.0   9.1e-52   9.1e-52      45     373 ..      70     428 ..      32     433 .. 0.85

>> Q94AJ5_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  167.8   9.4   2.3e-51   2.3e-51      39     371 ..      66     414 ..      57     418 .. 0.86

>> Q27UB2_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  164.4  13.1   2.5e-50   2.5e-50      27     370 ..      47     426 ..      41     433 .. 0.83

>> Q0C7H7_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  165.0   3.8   1.6e-50   1.6e-50      29     373 ..      51     428 ..      28     433 .. 0.83

>> Q8RY29_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  163.9  23.5   3.4e-50   3.4e-50      36     364 ..      78     421 ..      53     432 .. 0.86

>> Q02096_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  163.3  12.1   5.3e-50   5.3e-50      37     365 ..      95     436 ..      85     442 .. 0.88

>> A1DAX2_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  163.2   2.4   5.7e-50   5.7e-50      45     373 ..      69     429 ..      33     434 .. 0.84

>> B0YAA4_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  163.1   2.7   6.2e-50   6.3e-50      31     373 ..      52     429 ..      34     434 .. 0.84

>> Q4WBK6_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  163.1   2.7   6.2e-50   6.3e-50      31     373 ..      52     429 ..      34     434 .. 0.84

>> P05117_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  162.6  16.4     9e-50   9.1e-50      40     368 ..      90     431 ..      79     444 .. 0.87

>> P35336_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  162.5  15.5   9.2e-50   9.3e-50      35     371 ..      97     447 ..      64     453 .. 0.85

>> O23147_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  161.9  21.5   1.4e-49   1.4e-49      30     370 ..      72     425 ..      49     431 .] 0.85

>> Q9FY19_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  161.7   7.9   1.7e-49   1.7e-49      59     368 ..      95     415 ..      65     421 .. 0.86

>> Q7M1E7_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  160.3   5.4   4.3e-49   4.3e-49      40     364 ..      73     410 ..      49     420 .. 0.88

>> Q05967_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  160.3   7.9   4.2e-49   4.3e-49      14     370 ..      14     378 ..       3     390 .. 0.83

>> Q5B7U1_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  160.2  10.6   4.6e-49   4.6e-49      36     348 ..      38     367 ..       7     388 .. 0.86

>> B8NX60_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  155.6   1.3   1.2e-47   1.2e-47      35     371 ..      57     426 ..      31     432 .. 0.84

>> A2QK83_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  155.3  18.6   1.4e-47   1.5e-47      34     367 ..      42     392 ..      26     402 .. 0.87

>> P43212_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  154.8   5.0     2e-47     2e-47      85     358 ..     121     405 ..      67     427 .. 0.85

>> P48978_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  154.6  18.2   2.4e-47   2.4e-47      37     369 ..     109     454 ..      84     457 .. 0.86

>> Q2TW03_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  154.4   1.3   2.7e-47   2.7e-47      35     370 ..      57     425 ..      31     432 .. 0.84

>> B8NPS8_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  153.3  16.8   5.7e-47   5.7e-47      27     367 ..      36     392 ..      29     402 .. 0.87

>> P49063_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  153.0   8.7   7.3e-47   7.3e-47      35     360 ..      79     414 ..      56     428 .. 0.87

>> Q873X6_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  153.0   2.5   7.5e-47   7.5e-47      33     371 ..      61     432 ..      42     439 .. 0.84

>> Q9UUZ2_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  151.4  18.3   2.2e-46   2.2e-46      34     367 ..      42     392 ..      26     402 .. 0.87

>> Q4WBT4_2  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  150.0  13.4   6.1e-46   6.1e-46      38     375 ..      46     400 ..      30     403 .. 0.87

>> P48979_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  149.2   7.3   1.1e-45   1.1e-45      15     372 ..      12     384 ..       4     389 .. 0.83

>> Q2UBD8_1  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  149.0  16.8   1.2e-45   1.2e-45      27     367 ..      36     392 ..      29     402 .. 0.87

>> O22818_1  
